"Dish ID
[001]","Dish URL
[002]","Category
[003]","Dish Name
[004]","Sub-Recipe ID
[005]","Sub-Recipe Name (Live Sync)
[006]","Per Portion
[007]","Unit
[008]",Price
528,https://eatbetterday.ca/admin/meals/528,*Breakie,Up & At ’Em Omelette,,,,,
528,,,,2887,1oz Garlic Aoli Portioned,1,un,
528,,,,2903,Build Omelettes + Melt Cheese,1,un,
543,https://eatbetterday.ca/admin/meals/543,Veg,Veggie Jade Curry Noodles,,,,,$15.99
543,,,,1384,Green Curry Sauce Base,215,gr,
543,,,,540,Turmeric Medium Rice Noodles,180,gr,
543,,,,2800,Asian Veg Medley,90,gr,
543,,,,2581,Roasted Asian Glazed Tempeh,80,gr,
543,,,,1777,Slant Cut Green Onion,3,gr,
543,,,,304,Sesame Seed Mix,2,gr,
543,,,,2799,1oz Portioned Toasted Coconut,1,un,
544,https://eatbetterday.ca/admin/meals/544,Veg,Veggie Machu Pichu Picnic,,,,,$15.99
544,,,,2950,Vegan Peru Potato Salad,200,gr,
544,,,,2722,Green Bean + Pepper Veg Mix,110,gr,
544,,,,1623,Blackened Soy Curl,70,gr,
544,,,,278,Housemade Vegan Feta,10,gr,
544,,,,2948,2 oz Vegan Aji Verde Vegan Portioned,1,un,
490,https://eatbetterday.ca/admin/meals/490,Meat,"Winner Winner, Chicken Dinner",,,,,$16.99
490,,,,2754,Russet Spinach Mashed Potato,180,gr,
490,,,,2689,Chicken Dinner Veg Mix,150,gr,
490,,,,2684,Peppercorn Chicken Gravy,90,gr,
490,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
490,,,,2683,HF Sliced Homestyle Chicken Full Breast,1,un,
495,https://eatbetterday.ca/admin/meals/495,Veg,Zen Garden Glazed Tofu Soba,,,,,$15.99
495,,,,2422,Boiled Soba Noodles,190,gr,
495,,,,75,Pad Thai Pepper Slaw,85,gr,
495,,,,1205,Small Punch Dice Mango,35,gr,
495,,,,1419,Sesame Tofu Puffs,8,un,
495,,,,244,Round Cut Green Onion,3,gr,
495,,,,304,Sesame Seed Mix,2,gr,
495,,,,2747,2oz Sesame Vinaigrette,1,un,
359,https://eatbetterday.ca/admin/meals/359,Meat,Zen Garden Salmon Soba Bowl,,,,,$16.99
359,,,,2422,Boiled Soba Noodles,190,gr,
359,,,,75,Pad Thai Pepper Slaw,85,gr,
359,,,,1205,Small Punch Dice Mango,35,gr,
359,,,,244,Round Cut Green Onion,3,gr,
359,,,,304,Sesame Seed Mix,2,gr,
359,,,,2697,Cooked Maple Miso Salmon,1,un,
359,,,,2747,2oz Sesame Vinaigrette,1,un,
280,https://eatbetterday.ca/admin/meals/280,Meat,Herb Roasted Chicken Alfredo,,,,,$16.99
280,,,,895,Cashew Alfredo Sauce,200,gr,
280,,,,1546,Cooked Penne Pasta,190,gr,
280,,,,2399,Sliced Italian Chicken Breasts,70,gr,
280,,,,475,Baby Arugula #1281805,4,gr,
354,https://eatbetterday.ca/admin/meals/354,Meat,Hulk & Harvest Power Bowl,,,,,$16.99
354,,,,2281,Hulk Veg + Grains Mix,150,gr,
354,,,,134,Fresh Baby Spinach,40,gr,
354,,,,2315,old Pickled Red Onions,20,gr,
354,,,,278,Housemade Vegan Feta,15,gr,
354,,,,2341,Sliced Seasoned Chicken,1,un,
354,,,,2527,2.5 oz Hulk Dressing Portioned,1,un,
354,,,,2532,1oz Salad Seed Topper,1,un,
353,https://eatbetterday.ca/admin/meals/353,Meat,Seoul-ful Korean Beef BBQ,,,,,$16.99
353,,,,2492,Seasoned Brown Rice,150,gr,
353,,,,2127,Sauteed Bulgogi Beef,80,gr,
353,,,,830,Soy Garlic Mushrooms,45,gr,
353,,,,823,Pickled Carrot,40,gr,
353,,,,2132,Steamed Spinach,35,gr,
353,,,,304,Sesame Seed Mix,3,gr,
353,,,,2529,2 oz Spicy Mayo (Packing W)a,1,un,
